iter	Passed	Remaining
433	1528	1993
434	1531	1989
435	1534	1985
436	1538	1981
437	1541	1977
438	1545	1974
439	1548	1971
440	1552	1967
441	1555	1963
442	1558	1959
443	1561	1955
444	1565	1952
445	1568	1948
446	1572	1944
447	1575	1940
448	1579	1937
449	1582	1934
450	1586	1930
451	1589	1927
452	1593	1923
453	1596	1920
454	1599	1916
455	1602	1912
456	1606	1908
457	1609	1904
458	1612	1900
459	1615	1896
460	1619	1893
461	1622	1889
462	1626	1885
463	1629	1882
464	1633	1879
465	1636	1875
466	1639	1871
467	1642	1867
468	1646	1864
469	1649	1860
470	1653	1857
471	1656	1853
472	1659	1849
473	1662	1845
474	1666	1842
475	1669	1838
476	1673	1835
477	1677	1831
478	1680	1828
479	1683	1824
480	1687	1821
481	1691	1817
482	1694	1813
483	1698	1810
484	1701	1806
485	1704	1802
486	1707	1799
487	1711	1795
488	1714	1791
489	1717	1787
490	1720	1783
491	1723	1779
492	1727	1776
493	1730	1772
494	1733	1768
495	1737	1765
496	1740	1761
497	1743	1757
498	1747	1754
499	1750	1750
500	1753	1746
501	1756	1742
502	1760	1739
503	1763	1735
504	1767	1732
505	1770	1728
506	1773	1724
507	1777	1721
508	1780	1717
509	1784	1714
510	1788	1711
511	1791	1707
512	1794	1703
513	1797	1700
514	1802	1697
515	1805	1693
516	1809	1690
517	1812	1686
518	1815	1682
519	1818	1678
520	1822	1675
521	1825	1671
522	1828	1668
523	1831	1664
524	1835	1660
525	1838	1656
526	1842	1653
527	1845	1649
528	1849	1646
529	1852	1642
530	1855	1639
531	1858	1635
532	1862	1631
533	1865	1627
534	1868	1624
535	1872	1620
536	1875	1617
537	1878	1613
538	1882	1610
539	1886	1606
540	1890	1603
541	1893	1599
542	1896	1596
543	1900	1593
544	1904	1589
545	1907	1586
546	1910	1582
547	1913	1578
548	1917	1575
549	1921	1571
550	1924	1568
551	1927	1564
552	1931	1561
553	1935	1558
554	1939	1554
555	1942	1551
556	1945	1547
557	1949	1544
558	1952	1540
559	1956	1537
560	1959	1533
561	1963	1529
562	1966	1526
563	1969	1522
564	1973	1519
565	1976	1515
566	1979	1512
567	1983	1508
568	1987	1505
569	1991	1502
570	1994	1498
571	1997	1494
572	2001	1491
573	2004	1487
574	2008	1484
575	2011	1480
576	2014	1476
577	2018	1473
578	2021	1469
579	2024	1466
580	2027	1462
581	2031	1458
582	2034	1454
583	2037	1451
584	2040	1447
585	2044	1444
586	2047	1440
587	2050	1437
588	2054	1433
589	2057	1429
590	2060	1426
591	2064	1422
592	2068	1419
593	2072	1416
594	2075	1412
595	2078	1409
596	2081	1405
597	2085	1402
598	2089	1398
599	2093	1395
600	2096	1391
601	2099	1388
602	2103	1384
603	2106	1380
604	2109	1377
605	2112	1373
606	2116	1370
607	2119	1366
608	2122	1362
609	2126	1359
610	2129	1355
611	2133	1352
612	2136	1348
613	2140	1345
614	2143	1341
615	2146	1338
616	2149	1334
617	2153	1331
618	2156	1327
619	2159	1323
620	2163	1320
621	2166	1316
622	2169	1313
623	2173	1309
624	2176	1306
625	2180	1302
626	2183	1298
627	2187	1295
628	2191	1292
629	2195	1289
630	2199	1286
631	2202	1282
632	2206	1279
633	2209	1275
634	2213	1272
635	2216	1268
636	2220	1265
637	2223	1261
638	2226	1257
639	2229	1254
640	2233	1250
641	2236	1247
642	2240	1243
643	2243	1240
644	2246	1236
645	2249	1232
646	2253	1229
647	2256	1225
648	2259	1222
649	2263	1218
650	2266	1215
651	2270	1211
652	2273	1208
653	2276	1204
654	2280	1201
655	2283	1197
656	2287	1194
657	2290	1190
658	2294	1187
659	2297	1183
660	2301	1180
661	2304	1176
662	2307	1172
663	2310	1169
664	2314	1165
665	2317	1162
666	2321	1158
667	2324	1155
668	2328	1152
669	2331	1148
670	2335	1145
671	2338	1141
672	2342	1138
673	2345	1134
674	2348	1130
675	2351	1127
676	2355	1123
677	2358	1120
678	2362	1116
679	2365	1113
680	2369	1109
681	2372	1106
682	2375	1102
683	2378	1099
684	2382	1095
685	2385	1092
686	2389	1088
687	2393	1085
688	2397	1082
689	2400	1078
690	2404	1075
691	2407	1071
692	2410	1068
693	2414	1064
694	2417	1060
695	2420	1057
696	2424	1053
697	2427	1050
698	2431	1046
699	2434	1043
700	2437	1039
701	2440	1036
702	2444	1032
703	2447	1028
704	2451	1025
705	2454	1022
706	2458	1018
707	2462	1015
708	2466	1012
709	2470	1008
710	2473	1005
711	2476	1001
712	2479	998
713	2483	994
714	2487	991
715	2490	987
716	2494	984
717	2498	981
718	2501	977
719	2505	974
720	2508	970
721	2512	967
722	2515	963
723	2518	959
724	2521	956
725	2524	952
726	2528	949
727	2531	945
728	2534	942
729	2538	938
730	2541	935
731	2544	931
732	2548	928
733	2551	924
734	2554	921
735	2558	917
736	2561	914
737	2565	910
738	2568	907
739	2571	903
740	2574	899
741	2578	896
742	2582	893
743	2585	889
744	2588	886
745	2592	882
746	2596	879
747	2599	875
748	2603	872
749	2606	868
750	2609	865
751	2613	861
752	2616	858
753	2620	854
754	2623	851
755	2626	847
756	2630	844
757	2633	840
758	2636	837
759	2640	833
760	2643	830
761	2646	826
762	2650	823
763	2653	819
764	2656	816
765	2660	812
766	2663	809
767	2667	805
768	2670	802
769	2673	798
770	2676	795
771	2680	791
772	2684	788
773	2687	784
774	2690	781
775	2694	777
776	2698	774
777	2701	770
778	2705	767
779	2708	764
780	2712	760
781	2715	756
782	2718	753
783	2722	750
784	2725	746
785	2728	742
786	2731	739
787	2735	735
788	2738	732
789	2741	728
790	2745	725
791	2748	721
792	2751	718
793	2755	714
794	2758	711
795	2761	707
796	2765	704
797	2768	700
798	2771	697
799	2775	693
800	2778	690
801	2781	686
802	2784	683
803	2788	679
804	2791	676
805	2795	672
806	2799	669
807	2803	666
808	2806	662
809	2810	659
810	2813	655
811	2817	652
812	2821	648
813	2824	645
814	2827	641
815	2830	638
816	2834	634
817	2838	631
818	2841	628
819	2845	624
820	2848	621
821	2851	617
822	2855	614
823	2858	610
824	2862	607
825	2865	603
826	2868	600
827	2871	596
828	2875	593
829	2878	589
830	2882	586
831	2885	582
832	2888	579
833	2892	575
834	2896	572
835	2899	568
836	2903	565
837	2906	561
838	2910	558
839	2914	555
840	2917	551
841	2921	548
842	2924	544
843	2927	541
844	2931	537
845	2934	534
846	2937	530
847	2940	527
848	2944	523
849	2947	520
850	2951	516
851	2954	513
852	2957	509
853	2960	506
