iter	Logloss
0	0.6430097804
1	0.6012176455
2	0.5583851229
3	0.5185937459
4	0.4812360431
5	0.4497946764
6	0.4205528032
7	0.3960078016
8	0.3703517068
9	0.3537017282
10	0.3368642977
11	0.318340477
12	0.2992665437
13	0.2839310435
14	0.2724383132
15	0.2598869828
16	0.2495594197
17	0.2388987614
18	0.2293295485
19	0.2200069689
20	0.2144613228
21	0.2068649608
22	0.1998336853
23	0.1932111058
24	0.1870558969
25	0.1822431189
26	0.1776761459
27	0.1727953562
28	0.1681839035
29	0.1642246922
30	0.1607285739
31	0.1573600878
32	0.1549108441
33	0.1522720904
34	0.1503012704
35	0.1485970699
36	0.1462320663
37	0.1443584316
38	0.1420781242
39	0.1404765798
40	0.1390716539
41	0.1375532396
42	0.1360859552
43	0.1344005598
44	0.1332922069
45	0.1320940956
46	0.131073726
47	0.1300308954
48	0.1290043897
49	0.127988528
50	0.1270569007
51	0.126062346
52	0.1251259754
53	0.1244502894
54	0.123559043
55	0.1229019482
56	0.1220304302
57	0.12158554
58	0.1210202595
59	0.1204576052
60	0.1200379212
61	0.1193824068
62	0.1187078115
63	0.1180647395
64	0.1174009214
65	0.116854131
66	0.1164731211
67	0.1160422483
68	0.1156742608
69	0.1152977024
70	0.1147737494
71	0.1144881722
72	0.1141808107
73	0.1137185604
74	0.1132684088
75	0.1128659717
76	0.1125197569
77	0.1121936655
78	0.1118943273
79	0.1116338471
80	0.1112878756
81	0.1110682938
82	0.1109039001
83	0.1106700144
84	0.1103029825
85	0.1100729915
86	0.1098900535
87	0.1095824477
88	0.1092831031
89	0.1089942058
90	0.1087017646
91	0.1085430303
92	0.1083154152
93	0.108100789
94	0.1079309309
95	0.107713677
96	0.1075186082
97	0.1072821472
98	0.1071359412
99	0.1069071264
100	0.1066808385
101	0.1065856539
102	0.1064041951
103	0.1062231511
104	0.1060627177
105	0.1058959091
106	0.1056852771
107	0.1055137264
108	0.1053899225
109	0.1052878347
110	0.1052011776
111	0.105069229
112	0.1048938854
113	0.1047150256
114	0.104580329
115	0.1045066406
116	0.1043882443
117	0.1042667782
118	0.1041484219
119	0.1040602347
120	0.103955898
121	0.1037859588
122	0.1037160982
123	0.1036004727
124	0.1034868801
125	0.1033476044
126	0.1032418358
127	0.1031143506
128	0.1029658598
129	0.1028248531
130	0.1027474749
131	0.1026004114
132	0.1024184398
133	0.1022230166
134	0.1019954942
135	0.1018719451
136	0.1017414315
137	0.1016109864
138	0.1015445053
