iter	Passed	Remaining
0	5	5475
1	10	5428
2	16	5331
3	21	5288
4	26	5292
5	31	5225
6	36	5187
7	41	5186
8	47	5225
9	52	5197
10	58	5247
11	64	5283
12	69	5309
13	75	5305
14	81	5333
15	91	5637
16	99	5742
17	107	5840
18	114	5917
19	120	5895
20	125	5855
21	132	5887
22	139	5924
23	145	5912
24	150	5863
25	155	5823
26	160	5775
27	165	5745
28	170	5717
29	175	5684
30	180	5647
31	185	5620
32	190	5596
33	196	5572
34	201	5552
35	206	5532
36	211	5514
37	217	5506
38	222	5483
39	227	5464
40	232	5446
41	237	5425
42	242	5407
43	247	5386
44	253	5370
45	258	5355
46	263	5341
47	268	5328
48	273	5312
49	278	5289
50	283	5274
51	288	5255
52	293	5240
53	298	5223
54	303	5212
55	308	5199
56	313	5186
57	318	5172
58	323	5159
59	328	5150
60	333	5134
61	338	5117
62	343	5110
63	348	5103
64	354	5098
65	359	5090
66	364	5079
67	369	5070
68	374	5059
69	380	5049
70	384	5035
71	389	5024
72	394	5015
73	399	5003
74	404	4993
75	409	4981
76	415	4978
77	420	4969
78	425	4960
79	430	4951
80	435	4944
81	440	4933
82	446	4927
83	450	4917
84	456	4910
85	461	4899
86	466	4892
87	471	4884
88	476	4877
89	481	4870
90	486	4860
91	491	4850
92	496	4841
93	501	4831
94	506	4823
95	511	4815
96	516	4805
97	521	4796
98	526	4787
99	531	4779
100	536	4771
101	541	4765
102	546	4758
103	551	4749
104	556	4741
105	561	4732
106	565	4723
107	570	4714
108	576	4708
109	580	4700
110	585	4692
111	591	4686
112	596	4684
113	602	4679
114	607	4676
115	613	4673
116	618	4669
117	623	4661
118	628	4655
119	634	4651
120	639	4646
121	644	4640
122	649	4632
123	654	4626
124	660	4620
125	665	4615
126	670	4608
127	675	4603
128	681	4599
129	686	4597
130	692	4592
131	697	4587
132	703	4583
133	708	4579
134	714	4577
135	719	4574
136	725	4569
137	731	4567
138	736	4564
139	742	4561
140	747	4556
141	753	4553
142	758	4548
143	764	4542
144	769	4539
145	775	4536
146	781	4532
147	786	4524
148	791	4520
149	796	4514
150	801	4508
151	807	4502
152	812	4498
153	817	4493
154	822	4486
155	828	4481
156	833	4476
157	838	4470
158	844	4467
159	850	4463
160	855	4458
161	860	4452
162	866	4447
163	872	4445
164	877	4441
165	883	4436
166	888	4431
167	893	4424
168	898	4418
169	903	4412
170	908	4405
171	914	4401
172	919	4396
173	925	4391
174	930	4387
175	935	4381
176	941	4375
177	946	4370
178	951	4365
179	956	4359
180	962	4353
181	967	4349
182	973	4346
183	978	4340
184	984	4335
185	989	4331
186	995	4327
187	1001	4324
188	1007	4323
189	1013	4318
190	1018	4312
191	1023	4308
192	1029	4303
193	1034	4296
194	1039	4290
195	1044	4283
196	1049	4279
197	1055	4274
198	1060	4270
199	1066	4264
200	1071	4259
201	1077	4255
202	1082	4251
203	1086	4239
204	1091	4234
205	1097	4229
206	1102	4224
207	1108	4220
208	1113	4213
209	1118	4207
210	1123	4202
211	1128	4195
212	1133	4188
213	1138	4182
214	1144	4177
215	1149	4172
216	1154	4167
217	1159	4160
218	1165	4156
219	1170	4150
220	1176	4146
221	1181	4140
222	1186	4134
223	1191	4128
224	1197	4123
225	1202	4118
226	1207	4112
227	1212	4106
228	1218	4100
229	1223	4095
230	1228	4088
231	1233	4082
232	1238	4077
233	1244	4072
234	1249	4066
235	1254	4059
236	1259	4053
237	1264	4048
238	1268	4040
239	1273	4033
240	1279	4028
241	1284	4023
242	1289	4018
243	1294	4011
244	1299	4005
245	1305	4000
246	1310	3994
247	1315	3987
248	1320	3983
249	1325	3975
250	1330	3971
251	1336	3966
252	1341	3960
253	1346	3953
254	1351	3947
255	1356	3941
256	1361	3936
257	1366	3930
258	1371	3924
259	1377	3919
260	1382	3914
261	1387	3907
262	1392	3901
263	1397	3896
264	1402	3890
265	1407	3885
266	1413	3879
267	1418	3873
268	1423	3868
269	1428	3862
270	1433	3855
271	1438	3851
272	1444	3845
273	1449	3839
274	1454	3833
275	1459	3829
276	1464	3823
277	1469	3817
278	1474	3811
279	1480	3805
280	1485	3800
281	1490	3795
282	1496	3790
283	1501	3785
284	1506	3779
285	1511	3773
286	1516	3768
287	1522	3762
288	1527	3757
289	1532	3752
290	1538	3747
291	1543	3742
292	1548	3736
293	1553	3730
294	1558	3725
295	1563	3719
296	1568	3713
297	1573	3707
298	1579	3702
299	1584	3697
300	1589	3691
301	1595	3686
302	1600	3681
303	1604	3674
304	1609	3668
305	1615	3663
306	1620	3657
307	1625	3651
308	1630	3645
309	1635	3640
310	1640	3634
311	1645	3629
312	1650	3622
313	1655	3617
314	1660	3611
315	1666	3606
316	1671	3601
317	1676	3594
318	1680	3588
319	1686	3583
320	1691	3577
321	1696	3571
322	1701	3566
323	1706	3560
324	1711	3555
325	1717	3551
326	1722	3545
327	1728	3540
328	1733	3535
329	1738	3529
330	1743	3523
331	1748	3518
332	1754	3514
333	1760	3510
334	1765	3505
335	1771	3500
336	1776	3495
337	1782	3490
338	1787	3485
339	1792	3479
340	1798	3475
341	1803	3469
342	1808	3464
343	1813	3458
344	1819	3453
345	1824	3449
346	1830	3444
347	1836	3439
348	1840	3433
349	1846	3430
350	1852	3425
351	1857	3420
352	1863	3415
353	1869	3410
354	1874	3405
355	1880	3400
356	1885	3396
357	1891	3391
358	1897	3387
359	1902	3381
360	1907	3376
361	1920	3384
362	1925	3378
363	1930	3373
364	1936	3368
365	1941	3362
366	1946	3357
367	1952	3353
368	1957	3347
369	1963	3342
370	1968	3337
371	1974	3332
372	1980	3328
373	1985	3323
374	1991	3318
375	1996	3313
376	2001	3308
377	2007	3303
378	2013	3298
379	2018	3293
380	2029	3296
381	2033	3290
382	2039	3285
383	2044	3279
384	2049	3273
385	2054	3267
386	2059	3261
387	2064	3255
388	2069	3249
389	2074	3244
390	2079	3238
391	2084	3232
392	2089	3227
393	2095	3222
394	2099	3216
395	2106	3212
396	2112	3207
397	2116	3201
398	2122	3196
399	2127	3191
400	2131	3184
401	2136	3178
402	2141	3172
403	2146	3166
404	2150	3159
405	2155	3154
406	2160	3147
407	2164	3141
408	2169	3134
409	2173	3127
410	2177	3121
411	2182	3115
412	2187	3109
413	2192	3102
414	2197	3097
415	2202	3091
416	2207	3086
417	2212	3080
